33,4,2019-09-21 19:30:00 +0000 UTC,2019-09-21 20:33:00 +0000 UTC,{12.849120 77.658289},{12.948600 77.685435},true,17410.600000m,cab 20
49,4,2019-09-21 19:30:00 +0000 UTC,2019-09-21 20:25:00 +0000 UTC,{12.991484 77.697790},{13.055708 77.641861},true,14286.900000m,cab 19
78,4,2019-09-21 19:31:00 +0000 UTC,2019-09-21 20:41:00 +0000 UTC,{13.040779 77.667479},{12.921477 77.669084},true,19366.800000m,cab 11
301,4,2019-09-21 19:50:00 +0000 UTC,2019-09-21 21:00:00 +0000 UTC,{12.971350 77.690832},{13.046322 77.621619},true,14736.200000m,cab 12
13,4,2019-09-21 10:00:00 +0000 UTC,2019-09-21 10:40:00 +0000 UTC,{13.046322 77.621619},{13.055625 77.645021},true,4618.400000m,cab 4
30,4,2019-09-21 10:00:00 +0000 UTC,2019-09-21 10:31:00 +0000 UTC,{13.046322 77.621619},{13.064372 77.571984},true,9546.200000m,cab 1
39,4,2019-09-21 10:00:00 +0000 UTC,2019-09-21 11:00:00 +0000 UTC,{13.083839 77.594986},{13.046322 77.621619},true,9468.900000m,cab 7
55,4,2019-09-21 10:05:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.828782 77.682411},{12.991898 77.703648},true,28506.900000m,cab 9
168,4,2019-09-21 10:20:00 +0000 UTC,2019-09-21 12:15:00 +0000 UTC,{13.073313 77.566752},{12.849120 77.658289},true,33718.000000m,cab 8
221,4,2019-09-21 10:16:00 +0000 UTC,2019-09-21 12:00:00 +0000 UTC,{12.983163 77.488034},{12.991484 77.697790},true,27748.600000m,cab 10
17,4,2019-09-21 23:33:00 +0000 UTC,2019-09-21 00:00:00 +0000 UTC,{13.044374 77.573733},{13.046322 77.621619},true,7526.700000m,cab 2
184,4,2019-09-21 23:50:00 +0000 UTC,2019-09-21 01:00:00 +0000 UTC,{12.904590 77.636553},{13.046322 77.621619},true,19786.600000m,cab 2
21,4,2019-09-21 08:00:00 +0000 UTC,2019-09-21 09:00:00 +0000 UTC,{12.866469 77.585784},{12.920615 77.684075},true,16999.000000m,cab 46
213,4,2019-09-21 08:00:00 +0000 UTC,2019-09-21 09:00:00 +0000 UTC,{12.949271 77.688766},{13.051540 77.595405},true,22070.300000m,cab 44
230,4,2019-09-21 08:00:00 +0000 UTC,2019-09-21 09:45:00 +0000 UTC,{13.008793 77.644369},{12.849120 77.658289},true,23691.000000m,cab 45
272,4,2019-09-21 08:29:00 +0000 UTC,2019-09-21 09:45:00 +0000 UTC,{12.918734 77.543684},{12.849120 77.658289},true,21392.900000m,cab 2
304,4,2019-09-21 08:05:00 +0000 UTC,2019-09-21 09:30:00 +0000 UTC,{12.987154 77.549442},{12.991484 77.697790},true,19767.600000m,cab 1
325,4,2019-09-21 08:00:00 +0000 UTC,2019-09-21 10:09:00 +0000 UTC,{13.025089 77.604694},{12.921477 77.669084},true,20647.300000m,cab 43
88,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 02:22:00 +0000 UTC,{12.920615 77.684075},{12.923654 77.540795},true,18985.900000m,cab 4
95,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.975960 77.553918},{13.046322 77.621619},true,15015.500000m,cab 15
102,4,2019-09-21 02:05:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.943863 77.616201},{13.046322 77.621619},true,14632.200000m,cab 10
109,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 02:52:00 +0000 UTC,{12.920615 77.684075},{12.805889 77.699287},true,19858.600000m,cab 6
124,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.927341 77.597062},{13.046322 77.621619},true,15756.300000m,cab 13
131,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.946154 77.560534},{12.920615 77.684075},true,17626.800000m,cab 17
138,4,2019-09-21 02:00:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.801789 77.711664},{12.920615 77.684075},true,21521.300000m,cab 9
145,4,2019-09-21 02:10:00 +0000 UTC,2019-09-21 03:00:00 +0000 UTC,{12.907321 77.639044},{12.920615 77.684075},true,8110.900000m,cab 5
150,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 18:07:00 +0000 UTC,{13.043767 77.616354},{13.314480 77.562446},true,37233.700000m,cab 26
164,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 18:40:00 +0000 UTC,{12.920615 77.684075},{13.067713 77.504343},true,32284.600000m,cab 11
190,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:54:00 +0000 UTC,{12.920615 77.684075},{12.931956 77.551553},true,18386.700000m,cab 7
233,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:57:00 +0000 UTC,{13.043767 77.616354},{12.917596 77.490467},true,25358.100000m,cab 8
257,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:49:00 +0000 UTC,{13.043767 77.616354},{12.963625 77.534555},true,17161.200000m,cab 20
263,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 18:19:00 +0000 UTC,{13.043767 77.616354},{13.080840 77.447300},true,24470.800000m,cab 22
275,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:52:00 +0000 UTC,{13.043767 77.616354},{12.983319 77.487872},true,19515.600000m,cab 17
282,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:52:00 +0000 UTC,{13.043767 77.616354},{12.907234 77.565569},true,20035.300000m,cab 23
288,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:41:00 +0000 UTC,{13.043767 77.616354},{12.904275 77.601948},true,18132.000000m,cab 10
294,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:41:00 +0000 UTC,{13.043767 77.616354},{12.922274 77.619335},true,18971.700000m,cab 12
307,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:43:00 +0000 UTC,{13.043767 77.616354},{12.932727 77.539738},true,21242.700000m,cab 29
313,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:48:00 +0000 UTC,{13.043767 77.616354},{12.898341 77.618014},true,20627.600000m,cab 24
318,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:53:00 +0000 UTC,{13.043767 77.616354},{12.923206 77.666483},true,21442.500000m,cab 18
327,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:59:00 +0000 UTC,{13.043767 77.616354},{12.901750 77.517522},true,25224.600000m,cab 27
